순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
977,448490,HANARO 32-10 국고채액티브,K Market,1X,52475.0,245,12000000.0,,,,-1.4092,,,
978,152380,KODEX 국채선물10년,K Market,1X,64360.0,200,12000000.0,,,,-1.6654,,,
979,354350,HANARO 글로벌럭셔리S&P(합성),K Market,1X,18300.0,696,12000000.0,,,,-17.882,,,
980,227560,TIGER 200 생활소비재,K Market,1X,12550.0,995,12000000.0,,,,-0.2317,,,
981,463300,RISE 중국본토CSI300,K Market,1X,12975.0,873,11000000.0,,,,-15.6155,,,
982,306520,HANARO 200선물인버스,K Market,-1X,2305.0,4804,11000000.0,-5.34,-0.65,-2.33,16.65,-37.53,-71.26,-77.89
983,407310,HANARO 200 TOP10,K Market,1X,16740.0,662,11000000.0,,,,-20.4013,,,
984,227570,TIGER 우량가치,K Market,1X,20995.0,573,11000000.0,,,,-0.0952,,,
985,367740,HANARO Fn5G산업,K Market,1X,42575.0,258,11000000.0,,,,-20.3536,,,
986,438740,MIDAS 중소형액티브,K Market,1X,33815.0,332,11000000.0,,,,-17.9248,,,
987,0094X0,1Q 샤오미밸류체인액티브,K Market,1X,8305.0,1250,10000000.0,,,,-10.0427,,,
988,195920,TIGER 일본TOPIX(합성 H),K Market,1X,35105.0,296,10000000.0,,,,0.0142,,,
989,279540,KODEX 최소변동성,K Market,1X,20895.0,515,10000000.0,,,,-18.9874,,,
990,314700,HANARO 농업융복합산업,K Market,1X,10655.0,1020,10000000.0,,,,-9.9473,,,
991,0102X0,ACE 유럽방산TOP10,K Market,1X,9155.0,1145,10000000.0,,,,-6.7122,,,
992,0068M0,KODEX 미국S&P500버퍼6월액티브,K Market,1X,11715.0,886,10000000.0,,,,-7.208,,,
993,0189Z0,DAISHIN 금융&지주고배당,K Market,1X,10315.0,982,10000000.0,,,,0.5473,,,
994,475280,ACE 8월만기자동연장회사채AA-이상액티브,K Market,1X,10735.0,1015,10000000.0,,,,0.6091,,,
995,446700,RISE 배터리 리사이클링,K Market,1X,10365.0,1073,10000000.0,,,,-9.7912,,,
996,0000H0,KODEX 인도Nifty미드캡100,K Market,1X,10125.0,1041,10000000.0,,,,-12.5198,,,
997,371150,RISE 차이나항셍테크,K Market,1X,6510.0,1487,9000000.0,,,,-13.0252,,,
998,497520,ACE 일라이릴리밸류체인,K Market,1X,12985.0,697,9000000.0,,,,2.2038,,,
999,463690,KODEX 미국S&P500커뮤니케이션,K Market,1X,17950.0,524,9000000.0,,,,-7.0797,,,
1000,252410,RISE 200선물인버스,K Market,-1X,1270.0,7808,9000000.0,-5.58,-1.55,-1.93,15.77,-38.65,-71.43,-78.03
1001,0079X0,ACE BYD밸류체인액티브,K Market,1X,9610.0,950,9000000.0,,,,-18.9372,,,
1002,0099L0,ACE 우량회사채(AA-이상)액티브,K Market,1X,99490.0,94,9000000.0,,,,0.5152,,,
1003,481430,RISE 국고채10년액티브,K Market,1X,97290.0,95,9000000.0,,,,-1.8116,,,
1004,483030,KIWOOM 미국블록버스터바이오테크의약품+,K Market,1X,11740.0,784,9000000.0,,,,0.5375,,,
1005,0053M0,더제이 중소형포커스액티브,K Market,1X,12840.0,737,9000000.0,,,,-14.1712,,,
1006,0036Z0,RISE 미국천연가스밸류체인,K Market,1X,12535.0,782,9000000.0,,,,-4.0993,,,
1007,368680,KODEX K-뉴딜디지털플러스,K Market,1X,7750.0,1146,8000000.0,,,,-8.8653,,,
1008,449690,TIGER 한중반도체(합성),K Market,1X,50070.0,173,8000000.0,,,,-25.3467,,,
1009,390400,KODEX 미국스마트모빌리티S&P,K Market,1X,6870.0,1290,8000000.0,,,,-20.2408,,,
1010,419430,KODEX 차이나2차전지MSCI(합성),K Market,1X,8500.0,1014,8000000.0,,,,-29.2257,,,
1011,457700,KODEX 53-09 국고채액티브,K Market,1X,9105.0,949,8000000.0,,,,-5.7454,,,
1012,0089C0,KODEX 미국S&P500변동성확대시커버드콜,K Market,1X,11385.0,729,8000000.0,,,,-6.48,,,
1013,277650,TIGER 코스피중형주,K Market,1X,21225.0,341,7000000.0,,,,-9.6425,,,
1014,480460,WON 한국부동산TOP3플러스,K Market,1X,9090.0,787,7000000.0,,,,-3.6548,,,
1015,492500,1Q 현대차그룹채권(A+이상)&국고통안,K Market,1X,51315.0,155,7000000.0,,,,0.519,,,
1016,0015K0,TIGER 미국소비트렌드액티브,K Market,1X,6975.0,1113,7000000.0,,,,-8.7042,,,
