순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
484,475350,RISE 버크셔포트폴리오TOP10,K Market,1X,14325.0,30695,436000000.0,,,,-5.6828,,,
485,465610,ACE 미국빅테크TOP7 Plus레버리지(합성),K Market,2X,43455.0,10060,433000000.0,5.99,7.07,4.74,-1.6,26.89,32.28,
486,473640,HANARO 글로벌금채굴기업,K Market,1X,33450.0,12637,432000000.0,,,,7.21,,,
487,0123G0,TIGER 미국AI전력SMR,K Market,1X,6095.0,69520,427000000.0,,,,-24.8176,,,
488,139280,TIGER 경기방어,K Market,1X,12170.0,34855,426000000.0,,,,4.5683,,,
489,138520,TIGER 삼성그룹,K Market,1X,36900.0,11451,422000000.0,,,,-10.6538,,,
490,261070,TIGER 코스닥150바이오테크,K Market,1X,10820.0,38896,422000000.0,,,,-21.6764,,,
491,203780,TIGER 미국나스닥바이오,K Market,1X,34570.0,12018,422000000.0,,,,6.0123,,,
492,0197W0,SOL SK하이닉스단일종목레버리지,K Market,2X,9890.0,42042,420000000.0,11.19,-1.25,18.3,-65.78,,,
493,308620,KODEX 미국10년국채선물,K Market,1X,11155.0,37446,415000000.0,,,,-13.6786,,,
494,437350,RISE 미국단기투자등급회사채액티브,K Market,1X,11900.0,35027,415000000.0,,,,-12.2788,,,
495,433880,PLUS TDF2060액티브 적격,K Market,1X,18570.0,22462,414000000.0,,,,-8.1981,,,
496,139290,TIGER 200 경기소비재,K Market,1X,23460.0,17664,414000000.0,,,,-17.2464,,,
497,372330,KODEX 차이나항셍테크,K Market,1X,6565.0,63892,413000000.0,,,,-12.5889,,,
498,494840,TIGER 미국방산TOP10,K Market,1X,12080.0,35216,412000000.0,,,,-10.8544,,,
499,0131A0,SOL 차이나소비트렌드,K Market,1X,7210.0,58232,412000000.0,,,,-15.3074,,,
500,494340,ACE 글로벌AI맞춤형반도체,K Market,1X,20880.0,19125,408000000.0,,,,-22.4748,,,
501,310970,TIGER MSCI Korea TR,K Market,1X,50300.0,8034,407000000.0,,,,-14.8111,,,
502,0203D0,PLUS 200위클리커버드콜채권혼합,K Market,1X,9080.0,44214,402000000.0,,,,-7.8832,,,
503,0132H0,KODEX 미국원자력SMR,K Market,1X,7555.0,53327,401000000.0,,,,-27.9335,,,
504,0105D0,SOL 한국AI소프트웨어,K Market,1X,9150.0,43735,394000000.0,,,,-4.7165,,,
505,438320,TIGER 차이나항셍테크레버리지(합성 H),K Market,2X,4805.0,80811,393000000.0,4.34,0.1,-8.21,-4.95,-16.94,-52.05,-37.63
506,0166N0,PLUS 코스닥150액티브,K Market,1X,8245.0,46391,392000000.0,,,,-4.7086,,,
507,0190Y0,TIGER 구글밸류체인,K Market,1X,8685.0,45127,391000000.0,,,,-17.1476,,,
508,0216K0,KIWOOM 미국우주테크TOP2채권혼합50,K Market,1X,8805.0,43592,388000000.0,,,,,,,
509,252000,TIGER 200동일가중,K Market,1X,19355.0,19819,386000000.0,,,,0.4599,,,
510,0193G0,KoAct 코스피액티브,K Market,1X,8630.0,44295,384000000.0,,,,-18.5655,,,
511,463680,KODEX 미국S&P500테크놀로지,K Market,1X,22810.0,16632,382000000.0,,,,-7.1236,,,
512,213610,KODEX 삼성그룹밸류,K Market,1X,22535.0,16707,377000000.0,,,,-8.2777,,,
513,422420,RISE 2차전지액티브,K Market,1X,6620.0,56695,377000000.0,,,,-8.076,,,
514,453330,RISE 미국S&P500(H),K Market,1X,18370.0,20344,373000000.0,,,,5.0569,,,
515,0224X0,1Q 엔비디아알파벳미국채혼합50,K Market,1X,9815.0,38144,371000000.0,,,,,,,
516,275290,KODEX 가치주,K Market,1X,35350.0,10285,367000000.0,,,,-12.5301,,,
517,458260,TIGER 미국투자등급회사채액티브(H),K Market,1X,45875.0,7964,366000000.0,,,,-2.3679,,,
518,0064K0,KODEX 금액티브,K Market,1X,12260.0,29589,363000000.0,,,,-7.2076,,,
519,0085N0,ACE 미국10년국채액티브(H),K Market,1X,9620.0,37582,362000000.0,,,,-2.031,,,
520,271060,KODEX 3대농산물선물(H),K Market,1X,9155.0,39883,358000000.0,,,,16.8619,,,
521,496770,PLUS 글로벌방산,K Market,1X,16445.0,22312,357000000.0,,,,-9.3706,,,
522,453640,KODEX 미국S&P500헬스케어,K Market,1X,13880.0,25764,357000000.0,,,,1.9076,,,
523,0190M0,KIWOOM 미국AI테크하이베타,K Market,1X,8560.0,40206,355000000.0,,,,-26.6033,,,
524,329650,KODEX TRF3070,K Market,1X,13985.0,25350,354000000.0,,,,-2.8325,,,
525,481340,RISE 미국30년국채액티브,K Market,1X,8355.0,42299,353000000.0,,,,-15.8839,,,
526,139270,TIGER 200 금융,K Market,1X,17205.0,20648,352000000.0,,,,2.9938,,,
